,발생유형,발생원인,기상특보,선종,톤수,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
23,1,화기취급부주의,풍랑주의보,어선,129,9.5,75,11.6,1020.3,75,11.8,13.7,2.9,1.7,0.9,6.4,333
24,1,화기취급부주의,양호,어선,49,5.3,164,6.8,1022.3,62,7.5,9.8,1.6,1,0.5,3.8,231
25,1,기타,양호,낚시어선,9.77,12.5,47,15.2,1011.8,81,9.3,11.8,2.9,2.1,1.1,5.8,236
26,1,화기취급부주의,양호,어선,2.86,7.3,275,8.3,1016.2,70,12.3,9.8,1.2,0.8,0.4,2.3,175
27,1,기타,양호,어선,2.04,0.9,304,7.2,1023.4,45,10.2,11.7,0.9,0.6,0.3,5.8,93
28,1,기타,양호,어선,393,11.4,65,15.1,1026.3,61,8.4,12.7,2.9,2.1,1,5.8,246
29,1,기타,양호,기타,295,12,36,15.9,1023.7,65,9.2,11.5,2.1,1.4,0.7,4.3,229
30,1,관리소홀,양호,어선,1,8.4,351,11.7,1023.8,74,3.2,11.5,4.1,3.2,1.6,9.1,286
31,1,기타,양호,어선,4.99,6.6,277,8.6,1016.1,44,8.1,11.8,1,0.7,0.3,2.7,152
32,1,기타,양호,화물선,9530,3.5,299,4.9,1027,16,4.8,11.1,1.1,0.7,0.4,8,342
33,1,기타,양호,기타,1995,2.4,292,4.1,1026.8,34,3.5,13.2,1.2,0.8,0.4,10.7,287
34,1,화기취급부주의,양호,어선,57,7.7,5,10.9,1029,59,-0.7,6.7,3.5,2.1,1.1,3.8,313
35,1,기타,양호,화물선,1412,11.3,334,15.1,1024.7,63,-0.3,13,2.8,1.8,0.9,8,302
36,1,화기취급부주의,양호,어선,93,5.1,23,7.2,1025.3,52,6.5,16,0.7,0.6,0.3,7.1,16
37,1,화기취급부주의,양호,화물선,43022,2.9,350,4.9,1028.4,37,5.1,16.1,1.2,0.8,0.4,9.1,139
38,1,기타,풍랑주의보,어선,69,13,301,16.6,1011.4,65,9.1,11.5,4.6,3,1.9,8,214
39,1,화기취급부주의,양호,어선,39,8.3,7,10.7,1019.1,70,14.2,18.8,2.2,1.3,0.6,5.8,279
40,1,기타,양호,어선,79,4.3,167,5.5,1009.7,93,24.8,24.1,0.8,0.5,0.3,8,205
41,1,기타,양호,어선,2.91,4.6,117,5.9,1005.5,88,26.9,28.2,0.7,0.5,0.3,5.8,276
42,1,정비불량,양호,어선,129,8.1,60,9.9,1005.4,84,27.3,24.2,1.6,1.1,0.6,4.6,241
43,1,정비불량,양호,어선,106,10.2,109,13.4,1006.6,81,26.8,21.9,2.1,1.4,0.7,5.3,200
44,1,기타,양호,어선,2.63,3.4,123,3.9,1005.7,85,22.8,23.6,0.7,0.5,0.2,5.3,323
45,1,관리소홀,양호,어선,4.95,0.8,72,1.6,1003.8,80,23,22,1.1,0.8,0.4,5.8,283
46,1,화기취급부주의,양호,어선,29,2.9,78,4.4,1006,78,23.8,21.9,1.8,1.2,0.6,8,52
47,1,화기취급부주의,양호,어선,135,6.7,97,8.2,1000.2,78,20.8,20.8,1.1,0.8,0.4,4.3,151
48,1,재질불량,양호,어선,79,5.4,158,6.5,1003.7,74,21.2,20.3,1.3,0.7,0.4,3,172
49,1,관리소홀,양호,어선,29,7.4,28,9.4,1018.5,75,18,17.6,1.8,1.2,0.6,4.9,266
50,1,기타,양호,어선,15,5.9,136,7.8,1021.3,83,17,17.9,1.6,1.2,0.6,7.1,70
51,1,화기취급부주의,양호,예부선,36,0.2,155,1.1,1014.1,86,16.1,15.4,0.3,0.2,0.1,5.8,305
52,1,관리소홀,양호,어선,2.35,5.6,238,9.4,1011.8,84,14.8,12.9,2.9,1.9,0.9,6.4,301
53,1,기타,양호,어선,13,3.5,318,4.6,1028.3,55,3.9,4.4,1.3,0.8,0.4,5.3,157
54,1,관리소홀,양호,어선,3.37,4.9,8,6.6,1024.8,48,2.5,11.6,1.3,0.8,0.4,3.8,226
55,1,화기취급부주의,양호,기타,39,10.3,64,13.7,1018.9,56,8.8,12.9,2.3,1.6,0.8,5.8,249
56,1,관리소홀,양호,예부선,28.17,7.6,350,10,1021,27,5.1,12.5,2,1.4,0.7,9.1,306
57,1,정비불량,양호,관공선,21.38,6.3,343,9.7,1025.4,54,0.8,5,1.8,0.9,0.5,5.3,252
58,1,관리소홀,양호,요트,8,9.9,353,12.5,1025.5,37,5.7,15.3,1.5,1.1,0.6,4,293
59,1,기타,양호,어선,608,5.9,284,7.7,1024.8,52,5.4,14.6,0.8,0.6,0.3,6.4,326
60,1,정비불량,양호,어선,1.79,5.5,355,7.2,1020.4,80,9.1,14.5,1.2,0.7,0.4,3.6,267
61,1,기타,양호,어선,46,2.3,298,2.8,1017.9,72,6.5,6.8,0.1,0,0,2,276
62,1,기타,양호,어선,38,4.4,39,5.8,1025.4,70,14.4,16.8,0.6,0.4,0.3,3.6,207
63,1,기타,양호,어선,38,2.5,23,3.4,1018.2,90,20.8,19.4,0.7,0.4,0.3,10.7,281
64,1,정비불량,양호,화물선,75270,5,64,6.8,1018.7,65,23.1,24.5,1.8,1.1,0.8,5.3,289
65,1,기타,양호,어선,240,2.9,163,3.6,1020.7,74,22.7,23.5,0.7,0.4,0.3,5.8,62
66,1,기타,양호,어선,1.46,3,7,4.2,1017.2,73,23.3,24.9,0.9,0.6,0.3,9.1,287
67,1,정비불량,양호,어선,78,3.3,136,4.3,1017.1,71,22.1,24.8,0.3,0.2,0.2,3.8,66
68,1,기타,양호,낚시어선,9.77,6.3,251,7.4,1008.5,88,25.4,26.4,1.5,1.2,0.6,9.1,192
69,1,기타,양호,어선,53,7.6,181,9.2,1010.4,91,27.5,27.4,2,1.2,0.7,6.4,239
70,1,기타,양호,어선,7.93,5.1,250,6.2,1002.5,87,24.9,24.7,1.8,1.1,0.7,5.3,255
71,1,운항부주의,양호,어선,2.68,3.2,343,5.3,1002.2,93,23.9,21.5,0.2,0.1,0.1,3,90
72,1,기타,양호,어선,9.77,6.9,191,8.3,1005.2,89,23.5,23.2,1.3,0.8,0.4,3.8,239
73,1,정비불량,양호,요트,5,0.7,94,1.4,1012.2,86,24.5,25.5,0.6,0.4,0.2,4.3,143
74,1,화기취급부주의,양호,어선,9.77,2.6,2,4.3,1004.6,88,22.5,21.6,2.4,1.6,0.8,9.1,13
75,1,기타,저시정,어선,9.77,0.9,358,1.5,1014,89,16.9,17.7,0.4,0.3,0.2,3.6,295
76,1,화기취급부주의,양호,예부선,146.15,2.1,329,2.8,1016.5,90,18.3,18.5,0.8,0.5,0.2,7.1,44
77,1,화기취급부주의,양호,어선,7.31,9.1,71,12,1021.2,77,13.7,13.5,2.7,1.7,0.8,6.4,237
78,1,기타,양호,어선,2.55,4.5,117,5.4,1017.1,64,14.1,15.4,0.9,0.6,0.3,9.1,230
79,1,기타,풍랑주의보,어선,40,14.6,188,18.6,999,75,14.5,10.4,6.2,3.9,2,8,59
80,1,기타,양호,어선,20,3.8,167,4.5,1010.8,89,5.8,4.7,1.2,0.7,0.5,5.8,274
81,1,정비불량,양호,어선,94,4.9,13,7.7,1027.9,48,1.7,12.3,1.4,0.9,0.4,9.1,285
82,1,관리소홀,양호,예부선,290,14.7,172,18.3,1019.1,85,13.2,13.6,5,2.9,1.5,7.1,254
83,1,화기취급부주의,양호,예부선,436,3.3,267,5.2,1015.5,60,5.1,13.1,1.3,0.8,0.4,4.9,229
84,1,운항부주의,양호,어선,75,5.5,323,7,1018.8,81,6.1,13.8,2.2,1.5,0.8,6.4,349
85,1,정비불량,양호,모터보트,10,8,251,11.2,1022.6,58,8.7,13,1.1,0.7,0.3,2.9,222
86,1,화기취급부주의,양호,어선,2184,9.1,329,12.1,1028.4,61,-1.4,14.3,1.9,1.3,0.7,9.1,322
87,1,기타,양호,어선,4.93,4.2,296,6.3,1021.8,61,7,13.7,1.9,1.4,0.7,7.1,145
88,1,기타,황천5급,어선,29,7.3,296,11.7,1011.1,51,8.9,13.6,1.7,1.4,1,5.3,182
89,1,기타,양호,어선,12,3.7,35,5.6,1031.2,72,0.4,8,0.2,0.2,0.1,3.6,270
90,1,기타,황천5급,어선,5.85,9.6,291,9.9,1026.1,41,5,16.3,2.9,1.7,1.2,7.1,360
91,1,화기취급부주의,양호,어선,1.42,5.3,285,10.4,1020.2,51,5.7,16.8,1.4,1,0.7,9.1,346
92,1,관리소홀,풍랑주의보,어선,7.93,1.6,80,4.5,1022.7,68,8.5,11.3,0.3,0.1,0.1,3.4,271
93,1,화기취급부주의,풍랑주의보,어선,1.46,12.9,313,18.6,1021.3,66,3.9,15.5,2.9,2.1,1.5,5.3,200
94,1,정비불량,양호,낚시어선,7.93,7.4,217,8.9,1014.5,91,11.1,14.4,1.5,0.9,0.6,4,213
95,1,기타,양호,어선,7.31,6.7,144,8.3,1020.7,67,16.7,15.9,1,0.7,0.5,3.8,167
96,1,화기취급부주의,양호,어선,1.03,3.3,359,5,1016.9,66,12.7,16.4,0.7,0.8,0.6,4.9,282
97,1,기타,황천4급,어선,22,14.3,62,14.8,1016.1,78,13.7,19.2,3.6,2.2,1.5,6.4,45
98,1,관리소홀,양호,어선,6.67,10.6,315,14.1,1020.5,59,11.7,18.8,3.2,1.7,0.9,6.4,21
99,1,화기취급부주의,양호,유조선,44,9.1,264,11.4,1011.1,67,15.3,18.4,1.4,1,0.5,4.6,81
100,1,정비불량,양호,어선,9.77,2.9,21,4.6,1026.2,78,13.7,17.6,2,0.8,0.5,5.8,332
101,1,정비불량,양호,어선,9.77,3.4,122,4.9,1024.7,75,17.9,19,0.4,0.2,0.2,2.9,270
102,1,화기취급부주의,양호,예부선,1500,8,53,10.6,1019.5,69,20.7,22.1,1.8,1,0.5,4.9,252
103,1,기타,양호,낚시어선,8.55,1.7,25,2.8,1022.5,60,17.7,20.3,0.5,0.3,0.2,6.4,235
104,1,관리소홀,양호,어선,7.93,3.6,347,4.8,1018.3,83,19.4,21.8,1.9,1.1,0.7,6.4,163
105,1,기타,양호,어선,71,4.7,135,5,1018.6,57,22.2,23.5,1.1,0.7,0.5,9.1,43
106,1,화기취급부주의,양호,기타,3.71,8.4,80,10,1014.3,54,23.3,24.1,1.4,1,0.5,4.6,251
107,1,기타,양호,어선,1.15,1.6,329,2.6,1016,67,23.5,22.8,0.2,0.1,0.1,3.8,270
108,1,기타,양호,어선,29,3.9,68,5,1014.7,85,22.7,24.1,0.4,0.3,0.2,2.4,16
109,1,관리소홀,양호,어선,9.77,8.2,357,9.9,1002.3,90,22.1,22.8,2,1.3,0.8,5.3,218
110,1,화기취급부주의,풍랑주의보,어선,69,3.5,26,5.8,1004,86,22.5,23.6,2.6,1.5,1,7.1,192
111,1,관리소홀,양호,어선,7.93,6,30,7.5,1006.9,93,23.5,24.3,0.6,0.4,0.3,2.7,232
112,1,화기취급부주의,양호,어선,29,5,109,6.4,1009.2,76,26.2,25.5,1.2,0.7,0.3,5.8,108
113,1,관리소홀,양호,어선,7.93,2.9,252,4.1,1002.7,92,24.1,22.9,1.5,0.8,0.5,5.3,234
114,1,기타,양호,어선,27,4.6,254,6.3,1006.7,93,21.6,21.3,1.1,0.7,0.5,4,145
115,1,관리소홀,양호,어선,13,4.6,301,5.7,1007.6,93,21.7,21.5,0.7,0.4,0.2,2.7,232
116,1,정비불량,양호,어선,4.3,5.2,218,5.7,1004.6,89,20.6,19.7,0.6,0.4,0.2,8,78
117,1,기타,양호,어선,7.93,1.1,204,1.5,1005.9,85,17.5,14.8,0.4,0.2,0.1,2.1,3
118,1,화기취급부주의,양호,모터보트,1,6.1,257,7.3,1005.1,80,17.1,16,2.1,1.5,0.7,7.1,104
119,1,기타,양호,예부선,495,6.9,60,8.3,1017.6,81,17,17.1,1.2,0.8,0.4,4.3,240
120,1,화기취급부주의,양호,예부선,59,4.3,232,6,1008.6,74,16.4,16.2,1.3,0.9,0.4,6.4,229
121,1,기타,양호,어선,2.2,9.3,238,11.4,1008.9,85,16.4,16.4,1.4,1.2,0.6,5.3,196
122,1,화기취급부주의,양호,기타,4,4.8,327,5.8,1019.8,76,14.9,12.6,0.3,0.1,0.1,2.1,270
123,1,재질불량,양호,어선,20,2.7,337,4.2,1021.7,61,12.8,14.4,0.7,0.4,0.3,5.8,66
124,1,기타,양호,예부선,59,2.4,242,3.9,1019.7,46,12,13.9,1.1,0.8,0.4,6.4,76
125,1,정비불량,양호,어선,4.79,6.5,334,7.9,1006.1,100,7.9,7.3,1,0.7,0.4,5.8,353
126,1,화기취급부주의,양호,어선,4.99,1.7,331,2.7,1028.2,77,10.9,13.8,1.2,0.9,0.5,9.1,119
127,1,기타,양호,어선,3.51,7.7,270,9.5,1024.3,58,11.3,14.1,2.1,1.4,0.7,2.9,222
128,1,기타,양호,기타,24,5.4,226,8.6,1022.7,74,12.5,13.1,2.2,1.6,0.8,6.4,221
129,1,기타,양호,예부선,68,2.9,291,4.9,1019.3,54,5.5,13.4,2.4,1.7,0.8,9.1,77
130,1,기타,저시정,기타,97000,7,75,8.3,1024.5,79,11,13.5,1.1,0.7,0.4,3.4,204
131,1,기타,양호,어선,89,5.2,77,7.1,1029.8,48,7.7,15.2,1.5,0.9,0.4,4.6,310
132,1,기타,황천4급,어선,24,3.5,78,5.1,1031,70,3.4,11,1.9,1.4,1,7.1,21
133,1,기타,양호,어선,129,11.9,29,15.5,1025.4,67,5.6,12.5,4.3,3.1,1.6,7.1,254
134,1,정비불량,양호,어선,46,1.6,25,2.2,1025.9,58,2.7,6.6,0.3,0.1,0.1,5.3,89
135,1,관리소홀,풍랑주의보,어선,53,6.8,35,9.9,1029.6,59,-1.2,9.8,3.6,2.5,1.2,9.1,203
136,1,정비불량,양호,어선,374,11.7,70,14.2,1021.7,79,3.1,11,4.1,2.4,1.2,7.1,182
137,1,기타,양호,기타,0,2.7,278,3.9,1023.8,65,7.3,6.7,0.4,0.1,0.1,3.6,269
138,1,화기취급부주의,양호,어선,2385,7.9,325,11.5,1032.3,52,2.9,15.1,1,0.7,0.4,3.4,248
139,1,화기취급부주의,양호,여객선,1510,11.8,298,16.9,1010.5,45,10,14.6,4.1,2.9,2,8,223
140,1,기타,양호,낚시어선,4.4,0.6,240,3.2,1030.3,44,7.8,17.2,1.1,0.5,0.7,7,300
141,1,화기취급부주의,양호,화물선,3199,4,323,6.5,1030,35,5.9,15,1.2,0.7,0.5,7.1,320
142,1,기타,풍랑주의보,화물선,1369,11.8,24,18.1,1029.7,78,7.8,19.1,2.6,1.6,1.1,5.3,15
143,1,정비불량,양호,낚시어선,9.77,10.1,354,14.2,1022.6,72,4.8,15.7,3,2,1.4,5.8,307
144,1,기타,양호,기타,0,7.2,301,10,1020.8,47,6.6,15.6,1.2,0.7,0.5,3.6,193
145,1,정비불량,양호,유조선,1683,5.3,12,7.8,1015.2,61,7.4,14.9,1.3,0.8,0.5,4.6,302
146,1,화기취급부주의,양호,모터보트,2.77,7.6,229,11.1,1032.9,63,4.8,16.1,1.3,0.8,0.6,3.6,223
147,1,정비불량,황천5급,화물선,2516,9.6,328,12.1,1018.8,59,9.8,15.9,3.6,1.9,1.3,6.4,307
148,1,화기취급부주의,양호,어선,749,7.4,79,10,1022,70,13.3,18.5,1.6,1,0.7,7.1,192
149,1,정비불량,풍랑경보,어선,27,15.4,360,21.6,1006.5,89,12.5,16.4,5.5,3.3,2.4,7.1,171
150,1,기타,양호,어선,7.31,8.6,80,10.7,1016.9,95,14.9,16,2.5,1.4,1,5.3,99
151,1,정비불량,양호,어선,7.93,7.3,226,8.9,1009.9,67,16.2,17.9,2.1,1.4,1,4.9,149
152,1,관리소홀,양호,고무보트,0.5,2.3,240,4,1024.2,81,11.9,13.6,0,0,0,0,0
153,1,화기취급부주의,양호,어선,1.98,0.2,65,1,1019,68,17.3,18.3,0.9,0.6,0.4,7.1,128
154,1,관리소홀,양호,어선,35,7.6,60,12.5,1018.5,92,16.1,18.3,2.7,2.1,1.5,7.1,339
155,1,정비불량,태풍주의보,어선,72,10.3,197,14.5,1015.8,94,18.4,18.8,3.9,2.9,2.1,8,11
156,1,정비불량,양호,기타,1294,3.8,45,5.3,1025.7,58,17.6,19.2,0.7,0.4,0.3,3.8,137
157,1,관리소홀,양호,어선,4.89,2.5,77,3.6,1029.8,70,15.3,17,0.1,0.1,0,3.6,90
158,1,화기취급부주의,양호,어선,1773,6.7,3,8.7,1025.3,60,12,18.7,1.3,0.7,0.5,3.8,292
159,1,화기취급부주의,양호,어선,69,1.5,82,3.2,1020.4,83,18.1,19.5,0.1,0.1,0.1,2.1,270
160,1,기타,양호,어선,3.29,8.4,40,11.3,1022.5,78,17.3,21.6,2.6,1.7,0.9,5.3,277
161,1,관리소홀,양호,어선,7.93,4,352,4.9,1018.3,89,18.1,18.9,0.4,0.3,0.2,2.8,263
162,1,기타,양호,낚시어선,9.77,6.3,244,7.4,1011.5,42,21.1,22.8,3.2,2.2,1.6,10.7,347
163,1,화기취급부주의,양호,어선,6392,10.5,356,14.8,1014.4,44,18.4,23.5,1.9,1.2,0.9,8,96
164,1,기타,황천5급,어선,29,11.9,243,16.4,1024.4,75,22.2,23.8,2.4,1.5,1.1,5.3,284
165,1,기타,양호,어선,0.34,2.5,100,3,1015.1,55,22.9,23.5,1.3,0.7,0.5,5.3,199
166,1,화기취급부주의,양호,어선,39,11,108,14.5,1005.4,92,21.3,25.7,1.3,1.3,0.9,4.6,183
167,1,관리소홀,양호,어선,1.96,3.3,159,4,1008.3,94,23,23.2,0.8,0.5,0.3,7.1,184
168,1,화기취급부주의,양호,어선,88,2.8,110,3.7,1007.4,85,25.6,26.5,0.9,0.6,0.4,7.1,83
169,1,관리소홀,양호,화물선,199,4.6,66,5.4,1014.7,80,28.6,25.4,0.1,0,0,0,0
170,1,화기취급부주의,양호,어선,129,6.7,232,8.4,1013.8,96,24.5,24.8,1.1,0.8,0.5,5.3,225
171,1,정비불량,양호,어선,5.84,5.2,201,6.3,1005.2,98,24.1,23.6,1.7,1.2,0.7,7.4,209.4
172,1,관리소홀,양호,어선,39,2.1,207,2.8,1008.3,98,23.5,21.5,2.2,1.4,0.7,9.1,339
173,1,기타,양호,어선,4.93,5.1,34,5.3,1011.2,77,20.2,20.7,1.6,1.1,0.8,9.1,116
174,1,기타,양호,어선,3.26,6,89,6.4,999.2,99,20.1,20.1,1.2,0.8,0.6,4.3,108
175,1,관리소홀,양호,어선,1.53,5.5,46,7.5,1003.8,91,19.2,19.9,0.9,0.6,0.4,3.4,175
176,1,화기취급부주의,양호,어선,1.74,3.2,244,3.9,1006.8,94,19,19.7,0.5,0.4,0.3,6.4,73
177,1,기타,양호,낚시어선,6.15,2.1,326,3,1014.4,84,18.6,17.8,1.9,1.1,0.7,6.4,342
178,1,관리소홀,양호,어선,88,5.1,211,5.5,1009.1,85,18.2,17.4,0.8,0.5,0.3,3,183
179,1,관리소홀,양호,어선,2.99,2.1,111,2.2,1008.5,77,18.4,15.9,0.3,0.2,0.1,6.4,347
180,1,관리소홀,양호,낚시어선,9.77,3.6,248,4.6,1012.4,76,16.7,16.3,0.5,0.3,0.2,2.1,329
181,1,화기취급부주의,양호,낚시어선,9.77,1.6,325,2.4,1004.6,95,14,14.7,0.6,0.3,0.3,12.8,191
182,1,화기취급부주의,양호,유조선,532,5.5,340,7.1,1006.1,91,14.7,15.7,0.6,0.4,0.3,2.9,37
183,1,관리소홀,양호,어선,15,1.6,226,2.1,1010.1,75,16.4,15.1,0.7,0.4,0.2,4,108
184,1,기타,양호,어선,46,1.6,338,2.3,1012.6,79,14.9,14.9,0.1,0,0,3.8,85
185,1,기타,양호,어선,772,8.4,90,12.7,1009.2,91,14,15,2.3,1.6,1.2,5.8,211
186,1,기타,양호,어선,3929,4.7,51,6.5,1006.5,98,13.5,14.8,1,0.7,0.5,9.1,146
187,1,화기취급부주의,양호,화물선,812,5.6,307,7.3,1006.7,73,13,14.3,0.5,0.2,0.2,2.9,270
188,1,관리소홀,양호,어선,79,0.6,24,2.9,1009.1,57,16.4,15,1.5,0.9,0.4,4.3,111
189,1,정비불량,양호,낚시어선,3,7.3,169,8.8,1009.7,88,16.2,14.4,1.5,0.9,0.4,3.6,14
190,1,화기취급부주의,양호,기타,1,3.6,150,5.8,1013.3,73,19.3,13.3,0.2,0.1,0.1,2,90
191,1,화기취급부주의,양호,어선,807,2.3,32,3.1,1014.5,94,14,14.1,0.8,0.5,0.3,7.1,91
192,1,기타,양호,모터보트,1.94,0.8,68,1.9,1015.9,89,12.7,12.2,0.9,0.5,0.3,3.6,167
193,1,화기취급부주의,양호,어선,7.93,1.1,347,2.3,1031.5,25,8.7,13.3,0.7,0.5,0.4,5.8,277
194,1,기타,양호,예부선,91,10,57,12.9,1016.4,79,11.9,13.1,2.8,1.9,1.4,7.1,238
195,1,화기취급부주의,양호,예부선,639,0.3,49,0.6,1017.7,51,7.4,13.1,1,0.7,0.5,8,64
196,1,기타,양호,기타,4.82,8.4,322,11.5,1020.9,56,4.4,12.2,1.6,0.8,0.6,3.2,230
197,1,기타,양호,어선,414,3.3,335,5.2,1019.7,55,5.2,12.1,1.1,0.7,0.5,7.1,66
198,1,화기취급부주의,양호,화물선,22000,5.9,27,8.3,1026.3,59,3.9,13.7,1.3,0.9,0.6,7.1,253
199,1,기타,양호,어선,9.77,12.4,280,15.1,1013.8,58,7.7,11.5,2,1.2,0.9,4,176
200,1,화기취급부주의,양호,기타,16803,4.7,26,6.7,1019.7,59,10.2,13.9,2.6,1.1,0.8,7.1,291
201,1,관리소홀,양호,어선,48,2.8,53,6,1031.5,53,8.3,14.8,1.3,1,0.7,9.1,72
202,1,관리소홀,양호,예부선,51,2.1,63,3.2,1034.3,54,1.7,7.1,0.2,0.1,0.1,2.3,90
203,1,화기취급부주의,양호,기타,0.05,6.6,344,9.7,1018.1,31,4,14.8,2.1,1.4,1,9.1,308
204,1,화기취급부주의,양호,어선,15,8.8,305,11.4,1023.6,46,5.5,16.1,2.5,1.7,1.2,4.9,88
205,1,화기취급부주의,풍랑주의보,어선,40,4.4,108,6.5,1028.7,67,6.2,16.6,4.2,2.6,1.9,9.1,228
206,1,화기취급부주의,양호,어선,4.24,8.1,59,10.6,1025.1,76,15.7,16.8,1.6,1,0.7,4.9,224
207,1,화기취급부주의,양호,어선,29,4.7,326,7.2,1031.2,66,8.3,16,1.2,0.7,0.5,8,239
208,1,화기취급부주의,양호,어선,1.99,10.7,354,13.8,1018.6,68,6.4,16.6,3.2,2.1,1.5,8,228
209,1,화기취급부주의,양호,어선,1.4,6.5,322,8.4,1021.2,62,9.4,14.8,1,0.6,0.5,8,352
210,1,화기취급부주의,양호,어선,9.77,5.5,356,7,1028.3,64,9.9,15,1.1,0.7,0.5,3.6,121
211,1,화기취급부주의,양호,기타,20,3.5,14,5.2,1026.8,59,11.2,15.2,0.8,0.4,0.3,3.6,138
212,1,화기취급부주의,풍랑주의보,어선,40,4.9,19,7.8,1024.1,80,8.6,19.9,4.6,2.8,2,9.1,38
213,1,화기취급부주의,양호,어선,1.38,9.8,38,12.7,1022.4,71,10.2,20,4,2.2,1.5,9.1,282
214,1,화기취급부주의,양호,어선,26,8.4,250,10.1,1011.5,57,16,19.3,1.6,0.9,0.7,3.8,352
215,1,화기취급부주의,양호,어선,9.77,3.6,27,4.8,1019.8,82,21.4,21.8,1.3,0.8,0.6,10.7,9
216,1,화기취급부주의,양호,어선,75,4.3,282,6.7,1017.1,97,27,21.9,1.6,1,0.7,8,12
217,1,화기취급부주의,양호,어선,4.32,1.1,226,1.8,1026.1,61,20.1,21.5,0.5,0.3,0.2,3.8,16
218,1,화기취급부주의,양호,어선,66,1.2,340,1.9,1024.2,70,20.3,21,0.5,0.3,0.2,4.9,243
219,1,화기취급부주의,양호,어선,1.59,6.9,161,9.6,1022.1,75,18,22.2,2,1.3,0.9,5.8,217
220,1,화기취급부주의,양호,어선,2.51,2.3,181,3,1016.5,75,23.6,24.5,1.3,0.4,0.3,10.7,336
221,1,화기취급부주의,양호,화물선,1178,3.4,214,4.7,1008.2,79,26.6,26.5,0.9,0.6,0.4,8,59
222,1,화기취급부주의,양호,어선,9.77,7.8,261,11.3,998,71,26,24,0.6,0.4,0.3,3.2,90
223,1,화기취급부주의,양호,어선,9.77,8.1,289,10.4,996.4,69,22.9,23.1,0.9,0.5,0.3,2.7,90
224,1,화기취급부주의,황천4급,어선,39,11.3,290,14.8,995.3,61,24.5,26.1,2.8,1.9,1.4,5.3,199
225,1,화기취급부주의,양호,어선,300,7.3,328,10.5,1003.5,71,22.7,23.1,0.9,0.6,0.4,3.8,208
226,1,화기취급부주의,양호,기타,951,6.2,140,7.8,1009.5,73,23.6,25.2,1.2,0.7,0.5,3.8,160
